更新日期,#genre#
2026-06-04,https://codeberg.org/alantang/photo/raw/branch/main/Robot.mp4
📺┃广东频道,#genre#
广州综合,http://r.jdshipin.com/iR6Gq$IPV4•线路1
广州综合,http://r.jdshipin.com/snhya$IPV4•线路2
广州综合,http://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=c8dbe86d6f86eb1a21999ab479fd5667&txTime=18d3c4690e8$IPV4•线路3
广州综合,http://113.95.132.166:554/rtp/239.253.43.71:5146$IPV4•线路4
广州综合,http://183.30.201.121:10002/rtp/239.253.43.71:5146$IPV4•线路5
广州综合,http://58.63.66.57:8888/rtp/239.253.43.71:5146$IPV4•线路6
广州综合,http://115.190.252.60:26759/gd2/gd.php?id=gd-gz-1-2$IPV4•线路7
广州综合,http://115.29.208.41:34567/gd.php?id=gzzh$IPV4•线路8
广州综合,http://php.jdshipin.com:8880/gztv.php?id=zhonghe$IPV4•线路9
广州综合,http://tencentplaygzrb.gztv.com/sec/zonghes.m3u8$IPV4•线路10
广州新闻,http://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d2c2db0b598c02ec1b5623728434d367&txTime=18d57929bd3$IPV4•线路1
广州新闻,http://113.95.132.166:554/rtp/239.253.43.72:5146$IPV4•线路2
广州新闻,http://183.30.201.121:10002/rtp/239.253.43.72:5146$IPV4•线路3
广州新闻,http://58.63.66.57:8888/rtp/239.253.43.72:5146$IPV4•线路4
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=6f73647cae387d01a3c2132074132a83&txTime=18d00acf487$IPV4•线路5
广州新闻,http://115.190.252.60:26759/gd2/gd.php?id=gd-gz-2-1$IPV4•线路6
广州新闻,http://php.jdshipin.com:8880/gztv.php?id=xinwen$IPV4•线路7
广州新闻,http://tencentplaygzrb.gztv.com/sec/xinwen.m3u8$IPV4•线路8
广东珠江,http://r.jdshipin.com/sE5vO$IPV4•线路1
广东珠江,http://cdn2.163189.xyz/live/gdzj/stream.m3u8$IPV4•线路2
广东珠江,http://gmxw.7766.org:808/hls/83/index.m3u8$IPV4•线路3
广东珠江,http://183.11.239.36:808/hls/83/index.m3u8$IPV4•线路4
广东珠江,http://cdn2.veryfast.filegear-sg.me/live/gdzj/stream.m3u8$IPV4•线路5
广东珠江,http://115.190.252.60:26759/gd2/gd.php?id=gd-zj-1$IPV4•线路6
广东珠江,http://www.3344.uk:8888/rtp/239.77.0.1:5146$IPV4•线路7
广州影视频道,http://tencentplaygzrb01.gztv.com/live/yingshi.m3u8$IPV4•线路1
广州影视频道,http://php.jdshipin.com:8880/gztv.php?id=yingshi$IPV4•线路2
广州电视台法治频道,http://tencentplaygzrb01.gztv.com/live/fazhi.m3u8$IPV4•线路1
广州电视台法治频道,http://php.jdshipin.com:8880/gztv.php?id=fazhi$IPV4•线路2
广州南国都市频道,http://tencentplaygzrb01.gztv.com/live/nanguodushi.m3u8$IPV4
4K南国都市频道,https://xatv-yt.xiancity.cn/live/2/index.m3u8$IPV4
广州竞赛频道,http://tencentplaygzrb01.gztv.com/live/jingsai.m3u8$IPV4•线路1
广州竞赛频道,http://php.jdshipin.com:8880/gztv.php?id=jingsai$IPV4•线路2
广东体育,http://r.jdshipin.com/LiYdg$IPV4•线路1
广东体育,http://cdn2.163189.xyz/live/gdty/stream.m3u8$IPV4•线路2
广东体育,http://218.13.170.98:9901/tsfile/live/0019_1.m3u8$IPV4•线路3
广东体育,https://epg.pw/stream/7b470f9fc5c305db0c8622117b7b25ca00eb35ba3e93e865cf0ff9df5c736681.m3u8$IPV4•线路4
广东体育,http://183.11.239.36:808/hls/2/index.m3u8$IPV4•线路5
广东体育,http://cdn2.veryfast.filegear-sg.me/live/gdty/stream.m3u8$IPV4•线路6
广东体育,http://115.190.252.60:26759/gd2/gd.php?id=gd-ty-1$IPV4•线路7
广东体育,http://rihou.cc:555/tv/[At|]广东体育$IPV4•线路8
广东体育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty$IPV4•线路9
广东体育,$IPV4•线路10
广东民生,http://119.32.12.17:2901/udp/224.1.100.4:11111$IPV4•线路1
广东民生,http://183.11.239.36:808/hls/18/index.m3u8$IPV4•线路2
广东综艺,http://113.95.132.166:554/rtp/239.77.1.237:5146$IPV4•线路1
广东综艺,http://183.30.201.121:10002/rtp/239.77.1.237:5146$IPV4•线路2
广东综艺,http://58.63.66.57:8888/rtp/239.77.1.237:5146$IPV4•线路3
广东影视,http://119.32.12.17:2901/udp/224.1.100.11:11111$IPV4•线路1
广东影视,https://hlsbkmgsplive.miguvideo.com/wd_r1/2018/nfmedia/nfys/1000/01.m3u8?&HlsSubType=&encrypt=$IPV4•线路2
经济科教,http://119.32.12.17:2901/udp/224.1.100.6:11111$IPV4
岭南戏曲,http://www.cdnstv.com:6398/hls/1119/index.m3u8$IPV4
大湾区卫视,http://t.061899.xyz/tl/tl.php?id=dwqws$IPV4•线路1
大湾区卫视,http://148.135.93.213/live.php?id=大湾区卫视$IPV4•线路2
大湾区卫视,http://ali.hlspull.yximgs.com/live/b027460e580a463cb7e44eebexcvhnddggdfsdg.flv$IPV4•线路3
大湾区卫视,http://38.75.136.137:98/gslb/dsdqpub/nfws.m3u8?auth=testpub$IPV4•线路4
大湾区卫视,http://tvbox6.icu/tv/dwqws.m3u8$IPV4•线路5
大湾区卫视,http://go.bkpcp.top/mg/dwqws$IPV4•线路6
大湾区卫视,http://113.95.132.166:554/rtp/239.77.0.215:5146$IPV4•线路7
大湾区卫视,http://183.30.201.121:10002/rtp/239.77.0.215:5146$IPV4•线路8
大湾区卫视,http://58.63.66.57:8888/rtp/239.77.0.215:5146$IPV4•线路9
大湾区卫视,http://222.128.55.152:9080/live/dwq.m3u8$IPV4•线路10
大湾区卫视,http://gmxw.7766.org:808/hls/132/index.m3u8$IPV4•线路11
大湾区卫视,http://183.11.239.36:808/hls/132/index.m3u8$IPV4•线路12
大湾区卫视,https://smart.946985.filegear-sg.me/smart.php?id=nanfang_twn$IPV4•线路13
🍓┃湾区频道,#genre#
翡翠台,http://r.jdshipin.com/qClQf$IPV4•线路1
翡翠台,http://r.jdshipin.com/qrfbg$IPV4•线路2
翡翠台,http://r.jdshipin.com/62WM7$IPV4•线路3
翡翠台,http://r.jdshipin.com/n90gt$IPV4•线路4
翡翠台,http://r.jdshipin.com/GeWKr$IPV4•线路5
翡翠台,http://api.kkitv.itv888.vip:8080/streams/91wc8xdtj8/index.m3u8$IPV4•线路6
翡翠台,http://iptv.4666888.xyz/iptv2A.php?id=34$IPV4•线路7
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4$IPV4•线路8
翡翠台,http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41041749599/16991688/7.ts$IPV4•线路9
翡翠台,https://smart.946985.filegear-sg.me/smart.php?id=jade_twn$IPV4•线路10
翡翠台,https://smart.946985.filegear-sg.me/smart.php?id=Jade_xue$IPV4•线路11
翡翠台,http://hls.168.us.kg/u/81/master.m3u8$IPV4•线路12
翡翠台,http://mytv.veryfast.filegear-sg.me/hls/fct/playlist.m3u8$IPV4•线路13
翡翠台,https://o11.163189.xyz/stream/tvb/fct4k/$IPV4•线路14
翡翠台,http://rihou.cc:555/tv/[Pd]无线翡翠$IPV4•线路15
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct$IPV4•线路16
凤凰中文,http://r.jdshipin.com/cCCzW$IPV4•线路1
凤凰中文,http://43.152.143.193:80/1.v.smtcdns.net/tvlive.fengshows.cn/live/0701pcc72.flv$IPV4•线路2
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw$IPV4•线路3
凤凰中文,https://smt.1678520.xyz/smt3.2.1.php?id=phoenixtv_hd$IPV4•线路4
凤凰中文,https://smart.946985.filegear-sg.me/smart.php?id=phoenixtv_hd$IPV4•线路5
凤凰中文,http://cdn6.veryfast.filegear-sg.me/live/fhzw/stream.m3u8$IPV4•线路6
凤凰中文,http://43.152.143.193/1.v.smtcdns.net/tvlive.fengshows.cn/live/0701pcc72.flv$IPV4•线路7
凤凰中文,http://cdn6.163189.xyz/163189/fhzw$IPV4•线路8
凤凰中文,p3p://focus169.org:25271/68a6abe2000dd5d9a5012600500a1279$IPV4•线路9
凤凰中文,p3p://focus169.org:25271/6884d6010003149c20d695cc31c54300$IPV4•线路10
凤凰中文,p3p://focus169.org:35351/6884d6010003149c20d695cc31c54300$IPV4•线路11
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw$IPV4•线路12
凤凰中文,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=fhzw&apiKey=73c963d13814ce7d0e4743c5e7d033cc$IPV4•线路13
凤凰中文,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=fhzwhd&apiKey=73c963d13814ce7d0e4743c5e7d033cc$IPV4•线路14
凤凰中文,http://vapi.91kds.cc/live2/ifeng.m3u8?id=fhzwhd&apiKey=73c963d13814ce7d0e4743c5e7d033cc$IPV4•线路15
凤凰资讯,http://r.jdshipin.com/0Rp07$IPV4•线路1
